FeatureID	FeatureType	Contig	Strand	Left End	Right End	Num Intervals	FeatureName	db xref	function	GO biological process	locus tag	MultiFun	name	product	protein id	synonym	alternate product name	EC number	EnteroFam	GO cellular component	GO molecular function	structure	insertion sequence	regulation	molecular interaction	sequence correction	standard name	anticodon	codon recognized	note	comment	mutant phenotype	genetic interaction	transl except	modification	physical properties	evidence	ribosomal slippage	direction	pseudo	No Annotations	
ABE-0001806	CDS	Chromosome	complement	553166	553660	1	ppiB	UniProtKB/Swiss-Prot:P23869	enzyme; Proteins - translation and modification		b0525		ppiB	peptidyl-prolyl cis-trans isomerase B (rotamase B)	AAC73627.1	ECK0518 -!- JW0514	peptidyl-prolyl cis-trans isomerase B (rotamase B)	5.2.1.8	EnteroFam0001806: Trusted threshold=468.9; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0001810	CDS	Chromosome	forward	553834	555219	1	cysS	UniProtKB/Swiss-Prot:P21888	enzyme; Aminoacyl tRNA synthetases, tRNA modification		b0526		cysS	cysteinyl-tRNA synthetase	AAC73628.1	ECK0519 -!- JW0515	cysteine tRNA synthetase	6.1.1.16	EnteroFam0001810: Trusted threshold=1342; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0001812	CDS	Chromosome	complement	555255	555776	1	ybcI	UniProtKB/Swiss-Prot:P45570			b0527		ybcI	conserved inner membrane protein	AAC73629.1	ECK0520 -!- JW0516	orf, hypothetical protein																									
ABE-0001816	CDS	Chromosome	complement	555884	556096	1	ybcJ	UniProtKB/Swiss-Prot:P0AAS7			b0528		ybcJ	predicted RNA-binding protein	AAC73630.1	ECK0521 -!- JW5070	orf, hypothetical protein		EnteroFam0001816: Trusted threshold=171.8; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0001818	CDS	Chromosome	complement	556098	556964	1	folD	UniProtKB/Swiss-Prot:P24186	enzyme; Biosynthesis of cofactors, carriers: Folic acid		b0529		folD	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase and 5,10-methylene-tetrahydrofolate cyclohydrolase	AAC73631.1	ads -!- ECK0522 -!- JW0518		1.5.1.5 -!- 3.5.4.9	EnteroFam0001818: Trusted threshold=820.9; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0001825	CDS	Chromosome	forward	557435	557977	1	sfmA	UniProtKB/Swiss-Prot:P0ABW5	putative structure; Not classified		b0530		sfmA	predicted fimbrial-like adhesin protein	AAC73632.1	ECK0523 -!- JW0519	putative fimbrial-like protein																									
ABE-0001828	CDS	Chromosome	forward	558197	558889	1	sfmC	UniProtKB/Swiss-Prot:P77249	putative factor; Not classified		b0531		sfmC	pilin chaperone, periplasmic	AAC73633.1	ECK0524 -!- JW0520	putative chaperone																									
ABE-0001830	CDS	Chromosome	forward	558920	561523	1	sfmD	UniProtKB/Swiss-Prot:P77468	putative membrane; Not classified		b0532		sfmD	predicted outer membrane export usher protein	AAC73634.1	ECK0525 -!- JW0521	putative outer membrane protein, export function																									
ABE-0001832	CDS	Chromosome	forward	561565	562542	1	sfmH	UniProtKB/Swiss-Prot:P75715	phenotype; Not classified		b0533		sfmH	predicted fimbrial-like adhesin protein	AAC73635.1	ECK0526 -!- JW5071	involved in fimbrial asembly																									
ABE-0001834	CDS	Chromosome	forward	562553	563068	1	sfmF	UniProtKB/Swiss-Prot:P38052	putative structure; Not classified		b0534		sfmF	predicted fimbrial-like adhesin protein	AAC73636.1	ECK0527 -!- JW5072	putative fimbrial-like protein																									
ABE-0001836	CDS	Chromosome	complement	563071	563703	1	fimZ	UniProtKB/Swiss-Prot:P0AEL8	putative regulator; Surface structures		b0535		fimZ	predicted DNA-binding transcriptional regulator	AAC73637.1	ECK0528 -!- JW5073	fimbrial Z protein; probable signal transducer																									
ABE-0001840	tRNA	Chromosome	forward	563946	564022	1	argU		RNA; tRNA	GO:0006399 tRNA metabolism	b0536	information transfer; RNA related; tRNA -!- location of gene products; cytoplasm	argU	tRNA-Arg(UCU)		dnaY -!- pin -!- ECK0529 -!- JWR0010				GO:0005737 cytoplasm								(pos:563980..563982,aa:Arg)	AGR	anticodon: UCU -!- arginine tRNA4												
ABE-0001842	CDS	Chromosome	complement	564038	565201	1	intD	UniProtKB/Swiss-Prot:P24218	IS, phage, Tn; Phage-related functions and prophages		b0537		intD	DLP12 prophage; predicted integrase	AAC73638.1	ECK0530 -!- JW0525	prophage DLP12 integrase																									
ABE-0001850	CDS	Chromosome	complement	565321	565584	1	ybcC	UniProtKB/TrEMBL:P75717	putative enzyme; Not classified		b0539		ybcC	DLP12 prophage; predicted exonuclease	AAC73640.1	ECK0531 -!- JW0526		3.1.11.3																								
ABE-0001853	repeat_region	Chromosome	forward	566000	567257	1																	IS3																			
ABE-0001855	CDS	Chromosome	forward	566056	566364	1	insE-3	UniProtKB/Swiss-Prot:P0ADH3	IS, phage, Tn; Transposon-related functions		b0540	extrachromosomal; prophage genes and phage related functions	insE-3	DLP12 prophage; IS3 element protein InsE	AAC73641.1	ECK0298 -!- JW5074 -!- insE																										
ABE-0001857	CDS	Chromosome	forward	566361	567227	1	insF-3	UniProtKB/Swiss-Prot:P05822	IS, phage, Tn; Transposon-related functions		b0541	extrachromosomal; prophage genes and phage related functions -!- extrachromosomal; transposon related	insF-3	DLP12 prophage; IS3 element protein InsF	AAC73642.1	tra5_2 -!- ECK0299 -!- JW0529 -!- insF																										
ABE-0001860	CDS	Chromosome	forward	567285	567470	1	renD	UniProtKB/TrEMBL:P75718			b0542		renD	DLP12 prophage; predicted protein	AAC73643.1	ECK0533 -!- JW0530	orf, hypothetical protein																									
ABE-0001863	CDS	Chromosome	forward	567538	567870	1	emrE	UniProtKB/Swiss-Prot:P23895	transport; Drug/analog sensitivity		b0543		emrE	DLP12 prophage; multidrug resistance protein	AAC73644.1	envB -!- mon -!- mvrC -!- rodY -!- ECK0534 -!- JW0531	methylviologen resistance																									
ABE-0001866	CDS	Chromosome	forward	568125	569651	1	ybcK	UniProtKB/Swiss-Prot:P77698			b0544		ybcK	DLP12 prophage; predicted recombinase	AAC73645.1	ECK0535 -!- JW0532	orf, hypothetical protein																									
ABE-0001869	CDS	Chromosome	forward	570116	570667	1	ybcL	UniProtKB/Swiss-Prot:P77368			b0545		ybcL	DLP12 prophage; predicted kinase inhibitor	AAC73646.1	ECK0536 -!- JW0533	orf, hypothetical protein																									
ABE-0001871	CDS	Chromosome	forward	570677	571474	1	ybcM	UniProtKB/Swiss-Prot:P77634	putative regulator; Not classified		b0546		ybcM	DLP12 prophage; predicted DNA-binding transcriptional regulator	AAC73647.1	ECK0537 -!- JW0534	putative ARAC-type regulatory protein																									
ABE-0001874	CDS	Chromosome	forward	571689	572144	1	ybcN	UniProtKB/Swiss-Prot:Q47269			b0547		ybcN	DLP12 prophage; predicted protein	AAC73648.1	ECK0538 -!- JW0535	orf, hypothetical protein																									
ABE-0001876	CDS	Chromosome	forward	572144	572314	1	ninE	UniProtKB/Swiss-Prot:Q47270	IS, phage, Tn; Phage-related functions and prophages		b0548		ninE	DLP12 prophage; conserved protein	AAC73649.1	ECK0539 -!- JW0536	similar to phage 82 and lambda proteins																									
ABE-0001878	CDS	Chromosome	forward	572307	572597	1	ybcO	UniProtKB/Swiss-Prot:P68661			b0549		ybcO	DLP12 prophage; predicted protein	AAC73650.1	ECK0540 -!- JW0537	orf, hypothetical protein																									
ABE-0001880	CDS	Chromosome	forward	572594	572956	1	rusA	UniProtKB/Swiss-Prot:P0AG74	enzyme; Degradation of DNA		b0550		rusA	DLP12 prophage; endonuclease RUS	AAC73651.1	ECK0541 -!- JW0538 -!- rus	endodeoxyribonuclease RUS (Holliday junction resolvase)	3.1.22.-																								
ABE-0001883	CDS	Chromosome	forward	573179	573562	1	ybcQ	UniProtKB/Swiss-Prot:Q47274			b0551		ybcQ	DLP12 prophage; predicted antitermination protein	AAC73652.1	ECK0543 -!- JW0539	orf, hypothetical protein																									
ABE-0001884	repeat_region	Chromosome	forward	573814	575008	1																	IS5																			
ABE-0001886	CDS	Chromosome	complement	573960	574976	1	insH-2	UniProtKB/Swiss-Prot:P03837	IS, phage, Tn; Transposon-related functions		b0552	extrachromosomal; prophage genes and phage related functions -!- extrachromosomal; transposon related	insH-2	DLP12 prophage; IS5 transposase and trans-activator	AAC73653.1	trs5_2 -!- ECK0261 -!- JW0540 -!- insH																										
ABE-0001888	CDS	Chromosome	complement	574981	576108	1	nmpC	UniProtKB/Swiss-Prot:P21420	IS, phage, Tn; Phage-related functions and prophages		b0553		nmpC	DLP12 prophage; truncated outer membrane porin (pseudogene)	AAC73654.1	phmA -!- ECK0544 -!- JW5078	outer membrane porin protein; locus of qsr prophage																									
ABE-0001895	CDS	Chromosome	forward	576621	576836	1	essD	UniProtKB/Swiss-Prot:P0A9R2			b0554		essD	DLP12 prophage; predicted phage lysis protein	AAC73655.1	ECK0545 -!- JW0543 -!- ybcR																										
ABE-0001898	CDS	Chromosome	forward	576836	577333	1	ybcS	UniProtKB/Swiss-Prot:P78285	IS, phage, Tn; Phage-related functions and prophages		b0555		ybcS	DLP12 prophage; predicted lysozyme	AAC73656.1	lycV -!- ECK0546 -!- JW0544		3.2.1.17																								
ABE-0001900	CDS	Chromosome	forward	577330	577791	1	rzpD	UniProtKB/Swiss-Prot:P75719	IS, phage, Tn; Phage-related functions and prophages		b0556		rzpD	DLP12 prophage; predicted murein endopeptidase	AAC73657.1	ECK0547 -!- JW5079 -!- ybcT	bacteriophage lambda endopeptidase homolog	3.4.-.-																								
ABE-0001902	CDS	Chromosome	complement	577823	578116	1	borD	UniProtKB/Swiss-Prot:P77330	IS, phage, Tn; Phage-related functions and prophages		b0557		borD	DLP12 prophage; predicted lipoprotein	AAC73658.1	vboR -!- ECK0549 -!- JW0546 -!- ybcU	bacteriophage lambda Bor protein homolog																									
ABE-0001907	CDS	Chromosome	complement	578407	578817	1	ybcV	UniProtKB/Swiss-Prot:P77598	putative structure; Not classified		b0558		ybcV	DLP12 prophage; predicted protein	AAC73659.1	ECK0550 -!- JW5081	putative an envelop protein																									
ABE-0001912	CDS	Chromosome	forward	579103	579309	1	ybcW	UniProtKB/Swiss-Prot:P64435			b0559		ybcW	DLP12 prophage; predicted protein	AAC73660.1	ECK0551 -!- JW0548	orf, hypothetical protein																									
ABE-0001915	CDS	Chromosome	forward	580057	580602	1	nohB	UniProtKB/Swiss-Prot:P31062	IS, phage, Tn; Phage-related functions and prophages		b0560		nohB	DLP12 prophage; DNA packaging protein	AAC73661.1	ECK0552 -!- JW0549	bacteriophage DNA packaging protein																									
ABE-0001917	CDS	Chromosome	forward	580757	581320	1	tfaD	UniProtKB/Swiss-Prot:P77699			b0561		tfaD	DLP12 prophage; predicted tail fiber assembly protein (pseudogene)	AAC73662.1	ECK0553 -!- JW5815 -!- ybcX	orf, hypothetical protein																									
ABE-0001919	CDS	Chromosome	complement	581375	581959	1	ybcY	UniProtKB/Swiss-Prot:P77460			b0562		ybcY	DLP12 prophage; predicted SAM-dependent methyltransferase	AAC73663.2	ECK0554 -!- JW0551	orf, hypothetical protein																									
ABE-0001926	CDS	Chromosome	forward	582098	582283	1	ylcE	UniProtKB/Swiss-Prot:P77087			b0563		ylcE	DLP12 prophage; predicted protein	AAC73664.1	ECK0555 -!- JW0552	orf, hypothetical protein																									
ABE-0001929	CDS	Chromosome	forward	582904	583653	1	appY	UniProtKB/Swiss-Prot:P05052	regulator; Central intermediary metabolism: Pool, multipurpose conversions		b0564		appY	DLP12 prophage; DNA-binding transcriptional activator	AAC73665.1	ECK0556 -!- JW0553	regulatory protein affecting appA and other genes																									
ABE-0001931	CDS	Chromosome	complement	583903	584856	1	ompT	UniProtKB/Swiss-Prot:P09169	enzyme; Outer membrane constituents		b0565		ompT	DLP12 prophage; outer membrane protease VII (outer membrane protein 3b)	AAC73666.1	ECK0557 -!- JW0554	outer membrane protein 3b (a), protease VII	3.4.23.-						expression regulated by dsrA; expression is increased in strain overexpressing dsrA																		
ABE-0001935	CDS	Chromosome	complement	585370	586131	1	envY	UniProtKB/Swiss-Prot:P10805	structural component; Outer membrane constituents		b0566		envY	DNA-binding transcriptional activator of porin biosynthesis	AAC73667.1	ECK0558 -!- JW0555	envelope protein; thermoregulation of porin biosynthesis																									
ABE-0001937	CDS	Chromosome	complement	586314	587204	1	ybcH	UniProtKB/Swiss-Prot:P37325			b0567		ybcH	predicted protein	AAC73668.1	ECK0559 -!- JW0556	orf, hypothetical protein																									
ABE-0001939	CDS	Chromosome	complement	587205	590177	1	nfrA	UniProtKB/Swiss-Prot:P31600	membrane; Phage-related functions and prophages		b0568	cell structure; membrane -!- location of gene products; outer membrane	nfrA	bacteriophage N4 receptor, outer membrane subunit	AAC73669.1	ECK0560 -!- JW0557	bacteriophage N4 receptor, outer membrane protein			GO:0009279 outer membrane (sensu Gram-negative Bacteria)																						
ABE-0001942	CDS	Chromosome	complement	590164	592401	1	nfrB	UniProtKB/Swiss-Prot:P0AFA5	membrane; Phage-related functions and prophages		b0569	cell structure; membrane -!- location of gene products; inner membrane	nfrB	bacteriophage N4 receptor, inner membrane subunit	AAC73670.1	ECK0561 -!- JW0558	bacteriophage N4 receptor, subunit, inner membrane protein			GO:0019866 inner membrane																						
ABE-0001946	CDS	Chromosome	complement	592551	593993	1	cusS	UniProtKB/Swiss-Prot:P77485	putative regulator; Not classified		b0570		cusS	sensory histidine kinase in two-component regulatory system with CusR, senses copper ions	AAC73671.1	ybcZ -!- ECK0562 -!- JW5082		2.7.3.-																								
ABE-0001948	CDS	Chromosome	complement	593983	594666	1	cusR	UniProtKB/Swiss-Prot:P0ACZ8			b0571		cusR	DNA-binding response regulator in two-component regulatory system with CusS	AAC73672.1	ylcA -!- ECK0563 -!- JW0560																										
ABE-0001958	CDS	Chromosome	forward	594823	596196	1	cusC	UniProtKB/Swiss-Prot:P77211	putative transport; Drug/analog sensitivity		b0572		cusC	copper/silver efflux system, outer membrane component	AAC73673.1	ylcB -!- ECK0564 -!- JW0561																										
ABE-0001967	CDS	Chromosome	forward	596354	596686	1	cusF	UniProtKB/Swiss-Prot:P77214			b0573		cusF	periplasmic copper-binding protein	AAC73674.1	ECK0565 -!- JW0562 -!- ylcC																										
ABE-0001969	CDS	Chromosome	forward	596702	597925	1	cusB	UniProtKB/Swiss-Prot:P77239	putative transport; Drug/analog sensitivity		b0574		cusB	copper/silver efflux system, membrane fusion protein	AAC73675.1	ylcD -!- ECK0566 -!- JW0563																										
ABE-0001971	CDS	Chromosome	forward	597937	601080	1	cusA	UniProtKB/Swiss-Prot:P38054	putative transport; Not classified		b0575		cusA	copper/silver efflux system, membrane component	AAC73676.1	ybdE -!- ECK0567 -!- JW0564																										
ABE-0001976	CDS	Chromosome	forward	601182	602558	1	pheP	UniProtKB/Swiss-Prot:P24207	transport; Transport of small molecules: Amino acids, amines		b0576		pheP	phenylalanine transporter	AAC73677.1	ECK0568 -!- JW0565	phenylalanine-specific transport system																									
ABE-0001978	CDS	Chromosome	complement	602639	603886	1	ybdG	UniProtKB/Swiss-Prot:P0AAT4	putative transport; Not classified		b0577		ybdG	predicted mechanosensitive channel	AAC73678.1	ECK0569 -!- JW0566	putative transport																									
ABE-0001981	CDS	Chromosome	complement	603994	604647	1	nfnB	UniProtKB/Swiss-Prot:P38489	enzyme; Drug/analog sensitivity		b0578		nfnB	dihydropteridine reductase, NAD(P)H-dependent, oxygen-insensitive	AAC73679.1	nfsB -!- nfsI -!- ECK0570 -!- JW0567	oxygen-insensitive NAD(P)H nitroreductase	1.-.-.- -!- 1.5.1.34																								
ABE-0001986	CDS	Chromosome	complement	604741	605109	1	ybdF	UniProtKB/Swiss-Prot:P0AAT2			b0579		ybdF	conserved protein	AAC73680.1	ECK0571 -!- JW5083	orf, hypothetical protein																									
ABE-0001988	CDS	Chromosome	complement	605174	605422	1	ybdJ	UniProtKB/Swiss-Prot:P77506			b0580		ybdJ	predicted inner membrane protein	AAC73681.1	ECK0572 -!- JW0569	orf, hypothetical protein																									
ABE-0001992	CDS	Chromosome	complement	605488	606606	1	ybdK	UniProtKB/Swiss-Prot:P77213			b0581		ybdK	gamma-glutamyl:cysteine ligase	AAC73682.1	ECK0573 -!- JW0570	orf, hypothetical protein	6.3.-.-																								
ABE-0002004	repeat_region	Chromosome	forward	607231	608573	1																	IS186																			
ABE-0002007	CDS	Chromosome	forward	607288	608400	1	insL-2	UniProtKB/Swiss-Prot:P08409	IS, phage, Tn; Transposon-related functions		b0582	extrachromosomal; transposon related	insL-2	IS186/IS421 transposase	AAC73683.1	yi81_2 -!- ECK0016 -!- JW0572 -!- insL																										
ABE-0002009	CDS	Chromosome	complement	608682	609311	1	entD	UniProtKB/Swiss-Prot:P19925		GO:0009239 enterobactin biosynthesis	b0583			phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex	AAC73684.1	ECK0575 -!- JW5085	enterochelin synthetase, component D	2.7.8.-																								
ABE-0002014	CDS	Chromosome	complement	609477	611717	1	fepA	UniProtKB/Swiss-Prot:P05825	membrane; Transport of small molecules: Cations		b0584		fepA	iron-enterobactin outer membrane transporter	AAC73685.1	cbr -!- cbt -!- ECK0576 -!- JW5086	outer membrane receptor for ferric enterobactin (enterochelin) and colicins B and D																									
ABE-0002019	CDS	Chromosome	forward	612038	613162	1	fes	UniProtKB/Swiss-Prot:P13039	enzyme; Transport of small molecules: Cations		b0585			enterobactin/ferric enterobactin esterase	AAC73686.1	ECK0577 -!- JW0576	enterochelin esterase																									
ABE-0002021	CDS	Chromosome	forward	613380	617261	1	entF	UniProtKB/Swiss-Prot:P11454	enzyme; Biosynthesis of cofactors, carriers: Enterochelin		b0586		entF	enterobactin synthase multienzyme complex component,  ATP-dependent	AAC73687.1	ECK0579 -!- JW0578	ATP-dependent serine activating enzyme (may be part of enterobactin synthase as component F)	2.7.7.-																								
ABE-0002023	CDS	Chromosome	forward	617477	618610	1	fepE	UniProtKB/Swiss-Prot:P26266	transport; Transport of small molecules: Cations		b0587		fepE	regulator of length of O-antigen component of lipopolysaccharide chains	AAC73688.1	ECK0580 -!- JW0579	ferric enterobactin (enterochelin) transport																									
ABE-0002025	CDS	Chromosome	complement	618607	619422	1	fepC	UniProtKB/Swiss-Prot:P23878	transport; Transport of small molecules: Cations		b0588		fepC	iron-enterobactin transporter subunit -!- ATP-binding component of ABC superfamily	AAC73689.1	ECK0581 -!- JW0580	ATP-binding component of ferric enterobactin transport		EnteroFam0002025: Trusted threshold=729.7; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0002027	CDS	Chromosome	complement	619419	620411	1	fepG	UniProtKB/Swiss-Prot:P23877	transport; Transport of small molecules: Cations		b0589		fepG	iron-enterobactin transporter subunit -!- membrane component of ABC superfamily	AAC73690.1	ECK0582 -!- JW0581	ferric enterobactin transport protein																									
ABE-0002031	CDS	Chromosome	complement	620408	621412	1	fepD	UniProtKB/Swiss-Prot:P23876	transport; Transport of small molecules: Cations		b0590		fepD	iron-enterobactin transporter subunit -!- membrane component of ABC superfamily	AAC73691.1	ECK0583 -!- JW0582	ferric enterobactin (enterochelin) transport		EnteroFam0002031: Trusted threshold=748.2; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0002036	CDS	Chromosome	forward	621523	622773	1	ybdA	UniProtKB/Swiss-Prot:P24077	putative transport; Not classified		b0591		ybdA	predicted transporter	AAC73692.1	ECK0584 -!- JW0583	putative transport																									
ABE-0002038	CDS	Chromosome	complement	622777	623733	1	fepB	UniProtKB/Swiss-Prot:P0AEL6	transport; Transport of small molecules: Cations		b0592		fepB	iron-enterobactin transporter subunit -!- periplasmic-binding component of ABC superfamily	AAC73693.1	ECK0585 -!- JW0584	ferric enterobactin (enterochelin) binding protein; periplasmic component																									
ABE-0002047	CDS	Chromosome	forward	624108	625283	1	entC	UniProtKB/Swiss-Prot:P0AEJ2	enzyme; Biosynthesis of cofactors, carriers: Enterochelin		b0593		entC	isochorismate synthase 1	AAC73694.1	ECK0586 -!- JW0585	isochorismate hydroxymutase 2, enterochelin biosynthesis	5.4.4.2																								
ABE-0002049	CDS	Chromosome	forward	625293	626903	1	entE	UniProtKB/Swiss-Prot:P10378	enzyme; Biosynthesis of cofactors, carriers: Enterochelin		b0594		entE	2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex	AAC73695.1	ECK0587 -!- JW0586	2,3-dihydroxybenzoate-AMP ligase	2.3.1.- -!- 2.7.7.58	EnteroFam0002049: Trusted threshold=1241.6; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0002052	CDS	Chromosome	forward	626917	627774	1	entB	UniProtKB/Swiss-Prot:P0ADI4	enzyme; Biosynthesis of cofactors, carriers: Enterochelin		b0595		entB	isochorismatase	AAC73696.1	ECK0588 -!- JW0587	2,3-dihydro-2,3-dihydroxybenzoate synthetase, isochroismatase	3.3.2.1																								
ABE-0002054	CDS	Chromosome	forward	627774	628520	1	entA	UniProtKB/Swiss-Prot:P15047	enzyme; Biosynthesis of cofactors, carriers: Enterochelin		b0596		entA	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	AAC73697.1	ECK0589 -!- JW0588	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase, enterochelin biosynthesis	1.3.1.28																								
ABE-0002057	CDS	Chromosome	forward	628523	628936	1	ybdB	UniProtKB/Swiss-Prot:P0A8Y8			b0597		ybdB	conserved protein	AAC73698.1	ECK0590 -!- JW0589	orf, hypothetical protein	3.1.-.-																								
ABE-0002061	CDS	Chromosome	forward	629117	631222	1	cstA	UniProtKB/Swiss-Prot:P15078	phenotype; Global regulatory functions		b0598		cstA	carbon starvation protein	AAC73699.1	ECK0591 -!- JW0590	carbon starvation protein																									
ABE-0002065	CDS	Chromosome	complement	631612	632700	1	ybdH	UniProtKB/Swiss-Prot:P45579	putative enzyme; Not classified		b0599		ybdH	predicted oxidoreductase	AAC73700.1	ECK0593 -!- JW0592	putative oxidoreductase	1.1.-.-	EnteroFam0002065: Trusted threshold=889.5; Members of this family are defined by searches with an hmm constructed from an alignment of putative orthologous proteins from eight genomes (E. coli MG1655, E. coli EDL933, S. enterica Typhimurium LT2, S. enterica Typhi CT18, Y. pestis CO92, Y. pseudotuberculosis 32953, E. chrysanthemi 3937 and E. carotovora atroseptica SCRI1043).																							
ABE-0002069	CDS	Chromosome	forward	632809	633969	1	ybdL	UniProtKB/Swiss-Prot:P77806	putative enzyme; Not classified	GO:0008152 metabolism	b0600	metabolism	ybdL	methionine aminotransferase, PLP-dependent	AAC73701.1	ECK0594 -!- JW0593	PLP-dependent methionine aminotransferase	2.6.1.-																								
ABE-0002071	CDS	Chromosome	complement	633970	634599	1	ybdM	UniProtKB/Swiss-Prot:P77174			b0601		ybdM	conserved protein	AAC73702.1	ECK0595 -!- JW0594	orf, hypothetical protein																									
ABE-0002073	CDS	Chromosome	complement	634572	635792	1	ybdN	UniProtKB/Swiss-Prot:P77216			b0602		ybdN	conserved protein	AAC73703.1	ECK0596 -!- JW0595	orf, hypothetical protein																									
ABE-0002077	CDS	Chromosome	complement	635939	636841	1	ybdO	UniProtKB/Swiss-Prot:P77746	putative regulator; Not classified		b0603		ybdO	predicted DNA-binding transcriptional regulator	AAC73704.1	ECK0597 -!- JW0596	putative transcriptional regulator LYSR-type																									
ABE-0002084	CDS	Chromosome	complement	637050	637796	1	dsbG	UniProtKB/Swiss-Prot:P77202	enzyme; Central intermediary metabolism: Pool, multipurpose conversions		b0604		dsbG	periplasmic disulfide isomerase/thiol-disulphide oxidase	AAC73705.1	ECK0598 -!- JW0597	thiol:disulfide interchange protein																									
ABE-0002090	CDS	Chromosome	forward	638168	638731	1	ahpC	UniProtKB/Swiss-Prot:P0AE08	enzyme; Detoxification	GO:0006979 response to oxidative stress	b0605		ahpC	alkyl hydroperoxide reductase, C22 subunit	AAC73706.1	tpx -!- ECK0599 -!- JW0598	alkyl hydroperoxide reductase, C22 subunit; detoxification of hydroperoxides	1.11.1.15															oxyR null mutant plus ahpC-ahpF overexpression; isonicotinic acid hydrazide sensitivity of oxyR null mutant is suppressed by overexpression of ahpC-ahpF -!- oxyR null mutant plus ahpC-ahpF overexpression; cumene peroxide sensitivity of oxyR null mutant is suppressed by overexpression of ahpC-ahpF -!- ahpC null mutant plus ahpF null mutant: ahp null mutant is mildly sensitive to isonicotinic acid hydrazide -!- ahpC null mutant plus ahpF null mutant: ahp null mutant is mildly sensitive to cumene peroxide -!- ahpC null mutant plus ahpF null mutant plus katG mutant: ahp katG multiple mutant is highly sensitive to isonicotinic acid hydrazide -!- ahpC null mutant plus ahpF null mutant plus katG mutant: ahp katG multiple mutant is highly sensitive to cumene peroxide									
ABE-0002093	CDS	Chromosome	forward	638976	640541	1	ahpF	UniProtKB/Swiss-Prot:P35340	enzyme; Detoxification	GO:0006979 response to oxidative stress	b0606		ahpF	alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding	AAC73707.1	ECK0600 -!- JW0599	alkyl hydroperoxide reductase, F52a subunit; detoxification of hydroperoxides	1.6.4.-															oxyR null mutant plus ahpC-ahpF overexpression; isonicotinic acid hydrazide sensitivity of oxyR null mutant is suppressed by overexpression of ahpC-ahpF -!- oxyR null mutant plus ahpC-ahpF overexpression; cumene peroxide sensitivity of oxyR null mutant is suppressed by overexpression of ahpC-ahpF -!- ahpC null mutant plus ahpF null mutant: ahp null mutant is mildly sensitive to isonicotinic acid hydrazide -!- ahpC null mutant plus ahpF null mutant: ahp null mutant is mildly sensitive to cumene peroxide -!- ahpC null mutant plus ahpF null mutant plus katG mutant: ahp katG multiple mutant is highly sensitive to cumene peroxide -!- ahpC null mutant plus ahpF null mutant plus katG mutant: ahp katG multiple mutant is highly sensitive to isonicotinic acid hydrazide									
ABE-0002095	CDS	Chromosome	complement	640662	641090	1	uspG	UniProtKB/Swiss-Prot:P39177			b0607		uspG	universal stress protein UP12	AAC73708.1	ECK0601 -!- JW0600 -!- ybdQ	orf, hypothetical protein																									
